target_name,horizon_hours,mae_model,mae_persistence,mae_improvement_pct,rmse_model,rmse_persistence,rmse_improvement_pct,r2_model,corr_model,recommended_use
swell_period,12,1.3424310284745695,1.6095074950508843,16.593676475415915,1.941518247421997,2.446571612609063,20.643310115434108,0.5209390808493463,0.7218810910516618,main
swell_period,24,1.6200735139788418,1.949255493271567,16.887574790939137,2.2106575294419253,2.761615574430813,19.950569879822748,0.3792018009353359,0.6168233764636368,main
swell_period,48,1.8122640810603057,2.3080462540444633,21.48059953804577,2.381532227847766,3.086562487448229,22.84192406495994,0.278578346076876,0.5336996555497656,main
tm02,3,0.2042650668487906,0.2678105787943816,23.72778261099971,0.3213875691434604,0.4199047746986221,23.461796933809673,0.9675765564501108,0.9836951403131492,main
tm02,6,0.3296779663418154,0.422350403135799,21.942073715550947,0.4904956945692855,0.6390540558677608,23.24660330912858,0.924441809330976,0.961607214215346,main
tm02,12,0.4959950842737889,0.622738690608116,20.352614707552465,0.7228958372108818,0.9240070161065812,21.7651138346445,0.8356490116603772,0.9143218911264516,main
tm02,24,0.7200518459701833,0.8551155688862005,15.794791701891183,1.036264211221145,1.2400191518037915,16.431596260933105,0.6615474237810326,0.8134574299671012,main
tm02,48,0.9118365944266216,1.0971159860888404,16.887858167369334,1.2575755794221153,1.523232366562552,17.44033234666219,0.5015203052182169,0.7081832280772251,main
tp,3,0.6255007040128501,0.4976100142027043,-25.70098795440413,1.2288143182333306,1.410291326665652,12.86805108993948,0.8621120850874149,0.9285505223818826,secondary
tp,6,0.9204626359035154,0.877222525831803,-4.929206535218765,1.574259936282535,1.86626594148709,15.64653775827239,0.7737115630905762,0.8797345535760416,secondary
tp,12,1.260479814504874,1.406718904333652,10.395757772093788,1.951270210722553,2.373068391156522,17.774379449232992,0.6523983391037167,0.8077864303559106,secondary
tp,24,1.644115149460284,1.956067325850006,15.947926345232704,2.309800925433456,2.8660004606839955,19.406819464285697,0.5131559145634697,0.7164754185338624,secondary
tp,48,1.937291954745823,2.3944065177845535,19.0909337927162,2.555667748169373,3.2690358640061117,21.82197276240727,0.4036962770472035,0.6355777531620483,secondary
wind_speed,3,0.9472751451865656,1.1067744062515124,14.41118082998937,1.3348753389295165,1.6265088060065684,17.930026938684428,0.7847954732989776,0.8862661845667165,main
wind_speed,6,1.160700622668723,1.4068134367514948,17.494346276011996,1.5796330408454708,1.9748912132341496,20.014174438570233,0.6986212510267371,0.836494771541422,main
wind_speed,12,1.3933316903508082,1.707292101931256,18.389378784409637,1.8563572001594555,2.3473432003051102,20.9166686866171,0.5837521546840294,0.7650968551722819,main
wind_speed,24,1.7088119534007586,2.003565919254478,14.711468338580868,2.225533076359464,2.705563292831779,17.742339192142538,0.4019641212457553,0.6356911599211061,main
wind_speed,48,2.031653706195754,2.50464123248224,18.884442216809195,2.571567131971844,3.2634465075609342,21.200879928201843,0.2014379069491582,0.4528236876077238,main
wind_wave_height,3,0.1724752569976638,0.186443974140354,7.492179464150817,0.2647282760467221,0.3016752501209471,12.247267238334008,0.8411880540713836,0.918436007206368,secondary
wind_wave_height,6,0.2317575963337401,0.2618418939109669,11.489489755774592,0.3385324340908119,0.4007380515610624,15.522762869143689,0.740254958624665,0.8626078520760795,secondary
wind_wave_height,12,0.2918190558692326,0.3382355755354576,13.723133526904569,0.4165168899538679,0.5059006549225746,17.668244565207452,0.6068909392596424,0.7818825949296789,secondary
wind_wave_height,24,0.3673820344147868,0.3988892977776733,7.898748735155959,0.5102094045292539,0.6005770648793329,15.04680508707664,0.4110669778640717,0.6432894136535684,secondary
wind_wave_height,48,0.4483901917330035,0.521975207021096,14.097415796440016,0.6069289549080491,0.7469047260022957,18.740779944377593,0.168241954124759,0.4180169288554183,secondary
